id,name,,,,,,,,
1,Vsmart,,,,,,,,
2,iPhone,,,,,,,,
3,Samsung,,,,,,,,
102,Xiaomi,,,,,,,,
104,Oppo,,,,,,,,
105,Nokia,,,,,,,,
109,Apple,,,,,,,,
id,note,user_id,product_id,created_at,updated_at,status,,,
17,3,Samsung Galaxy S21 Plus 5G,20400000,25990000,https://image.cellphones.com.vn/358x/media/catalog/product/s/a/samsung-galaxy-s21-plus-3.jpg,NULL,22/10/2021 12:47,22/10/2021 12:47,0
18,3,Samsung Galaxy Z Flip3 5G 256GB,25990000,26990000,https://image.cellphones.com.vn/358x/media/catalog/product/8/0/800x800_flip_3_lavender.png,NULL,22/10/2021 12:47,22/10/2021 12:47,0
19,3,Samsung Galaxy A52,8750000,9290000,https://image.cellphones.com.vn/358x/media/catalog/product/s/a/samsung-galaxy-a52-26.jpg,NULL,22/10/2021 12:47,22/10/2021 12:47,0
20,2,iPhone 13 | Chính hãng VN/A,24990000,NULL,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/ip13-pro_2.jpg,NULL,22/10/2021 12:58,22/10/2021 12:58,0
21,2,iPhone 13 Pro Max | Chính hãng VN/A,33990000,NULL,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/iphone_13-_pro-5_4.jpg,"Miễn phí 4G tốc độ cao 10GB/ Tháng trong 18 tháng 
- Công nghệ Vsim ảo đầu tiên
Cấu hình vượt trội, trải nghiệm mạnh mẽ 
- Chip Helio G35 8 nhân, RAM 3GB
Màn hình siêu rộng, xem phim thả ga - Màn hình IPS LCD 6.528 inch, viền siêu mỏng
Sử dụng cả ngày dài - Pin 5000mAh, sạc nhanh 15W",22/10/2021 12:58,22/10/2021 12:58,0
22,2,iPhone 11 I Chính hãng VN/A,16900000,18000000,https://image.cellphones.com.vn/358x/media/catalog/product/l/a/layer_20_1.jpg,"Miễn phí 4G tốc độ cao 10GB/ Tháng trong 18 tháng 
- Công nghệ Vsim ảo đầu tiên
Cấu hình vượt trội, trải nghiệm mạnh mẽ 
- Chip Helio G35 8 nhân, RAM 3GB
Màn hình siêu rộng, xem phim thả ga - Màn hình IPS LCD 6.528 inch, viền siêu mỏng
Sử dụng cả ngày dài - Pin 5000mAh, sạc nhanh 15W",22/10/2021 12:58,22/10/2021 12:58,0
28,1,Vsmart Star 5,2690000,0,https://image.cellphones.com.vn/358x/media/catalog/product/v/s/vsmart-star-5-3_3.jpg,"Miễn phí 4G tốc độ cao 10GB/ Tháng trong 18 tháng 
- Công nghệ Vsim ảo đầu tiên
Cấu hình vượt trội, trải nghiệm mạnh mẽ 
- Chip Helio G35 8 nhân, RAM 3GB
Màn hình siêu rộng, xem phim thả ga - Màn hình IPS LCD 6.528 inch, viền siêu mỏng
Sử dụng cả ngày dài - Pin 5000mAh, sạc nhanh 15W",25/10/2021 11:30,25/10/2021 11:30,0
29,1,Vsmart Joy 4,3290000,0,https://image.cellphones.com.vn/358x/media/catalog/product/v/s/vsmart-joy-4_2_.png,NULL,25/10/2021 11:34,25/10/2021 11:34,0
30,1,Vsmart Joy 4 4GB,3590000,0,https://image.cellphones.com.vn/358x/media/catalog/product/v/s/vsmart-joy-4_1__2.png,NULL,25/10/2021 11:34,25/10/2021 11:34,0
31,1,Vsmart Live 4,4290000,0,https://image.cellphones.com.vn/358x/media/catalog/product/v/s/vsmart-live-_4_3_.jpg,NULL,25/10/2021 11:34,25/10/2021 11:34,0
32,1,Vsmart Aris 6GB 64GB,4490000,5990000,https://image.cellphones.com.vn/358x/media/catalog/product/1/1/11_1_4.png,NULL,25/10/2021 11:34,25/10/2021 11:34,0
33,1,Vsmart Aris Pro,5490000,8490000,https://image.cellphones.com.vn/358x/media/catalog/product/1/1/11_2_2.png,NULL,25/10/2021 11:38,25/10/2021 11:38,0
34,102,Xiaomi Mi 11 Lite 5G,8990000,10490000,https://image.cellphones.com.vn/358x/media/catalog/product/x/i/xiaomi-mi-11-lite-5g-2_10.png,NULL,25/10/2021 11:40,25/10/2021 11:40,0
35,102,Xiaomi Redmi Note 10 5G,4950000,5290000,https://image.cellphones.com.vn/358x/media/catalog/product/r/e/redmi-note-10-5g.jpg,NULL,25/10/2021 11:40,25/10/2021 11:40,0
36,102,"Xiaomi Redmi 10 (4GB - 128GB)
",4290000,0,https://image.cellphones.com.vn/358x/media/catalog/product/0/0/001_2.jpg,NULL,25/10/2021 11:40,25/10/2021 11:40,0
37,102,Xiaomi Redmi Note 10 Pro 8GB,6090000,7490000,https://image.cellphones.com.vn/358x/media/catalog/product/x/i/xiaomi-redmi-note-10-pro_2_.png,NULL,25/10/2021 11:40,25/10/2021 11:40,0
38,102,Xiaomi Redmi 10 (4GB - 64GB),3990000,0,https://image.cellphones.com.vn/358x/media/catalog/product/0/0/004.jpg,NULL,25/10/2021 11:40,25/10/2021 11:40,0
39,102,Xiaomi Redmi Note 10,5100000,5490000,https://image.cellphones.com.vn/358x/media/catalog/product/x/i/xiaomi-redmi-note-10_1.jpg,NULL,25/10/2021 11:40,25/10/2021 11:40,0
40,104,OPPO Reno6 5G,12490000,12990000,https://image.cellphones.com.vn/358x/media/catalog/product/r/e/reno6-1_1.jpg,,NULL,NULL,0
41,104,Oppo Reno5,7790000,8690000,https://image.cellphones.com.vn/358x/media/catalog/product/o/p/oppo-reno-5_3_.jpg,,NULL,NULL,0
42,104,OPPO Reno6 Z 5G,9190000,9490000,https://image.cellphones.com.vn/358x/media/catalog/product/o/p/oppo_reno6.jpg,,NULL,NULL,0
43,104,Oppo A54,4350000,4690000,https://image.cellphones.com.vn/358x/media/catalog/product/o/p/oppo-a54-4g-black-600x600.jpg,,NULL,NULL,0
44,104,Oppo A73,5190000,5490000,https://image.cellphones.com.vn/358x/media/catalog/product/o/p/oppo-a73_1_.jpg,,NULL,NULL,0
45,104,OPPO Find X3 Pro 5G,21990000,26990000,https://image.cellphones.com.vn/358x/media/catalog/product/o/p/oppo-find-x3-pro-5g-3_2.jpg,,NULL,NULL,0
46,2,NULL,NULL,NULL,NULL,NULL,16/11/2021 16:24,16/11/2021 16:24,1
47,2,áda,30900000,32990000,aq,aaq,16/11/2021 16:25,16/11/2021 16:25,1
48,104,NULL,NULL,NULL,NULL,NULL,16/11/2021 16:25,16/11/2021 16:25,1
49,105,Nokia X10 5G,5190000,5490000,https://image.cellphones.com.vn/358x/media/catalog/product/n/o/nokia-x10.jpg,NULL,NULL,NULL,0
50,105,Nokia G21,3490000,4290000,https://image.cellphones.com.vn/358x/media/catalog/product/t/h/thumb_602966_default_big.jpg,NULL,NULL,NULL,0
51,105,"Nokia C21 Plus 3GB 64GB
",2890000,3190000,https://image.cellphones.com.vn/358x/media/catalog/product/n/o/nokia-c21-plus-600x600_2_1.jpg,NULL,NULL,NULL,0
52,105,"Nokia C30 2GB 32GB
",2390000,2999000,https://image.cellphones.com.vn/358x/media/catalog/product/6/3/637649100605269420_nokia-c30-xanh-1_5_1_.jpg,NULL,NULL,NULL,0
53,109,MacBook Pro 14 inch 2022,95990000,99990000,https://image.cellphones.com.vn/358x/media/catalog/product/m/a/macbook-pro-14-inch-2021-32gb-1tb-1_8.jpg,,NULL,NULL,0
54,2,iPhone 14 Pro 256GB | Chính hãng VN/A,3490000,3290000,https://cdn2.cellphones.com.vn/358x/media/catalog/product/t/_/t_m_18.png,"iPhone 14 Pro Max là mẫu flagship nổi bật nhất của Apple trong lần trở lại năm 2022 với nhiều cải tiến về công nghệ cũng như vẻ ngoài cao cấp, sang chảnh hợp với gu thẩm mỹ đại chúng. Những chiếc điện thoại đến từ nhà Táo Khuyết nhận được rất nhiều sự kỳ vọng của thị trường ngay từ khi chưa ra mắt. Vậy liệu những chiếc flagship đến từ công ty công nghệ hàng đầu thế giới này có làm bạn thất vọng? Cùng khám phá những điều thú vị về iPhone 14 Pro Max ở bài viết dưới đây nhé.

",NULL,NULL,0
id,name,,,,,,,,
1,User,,,,,,,,
2,Admin,,,,,,,,
user_id,token,created_at,,,,,,,
55,0e60521fee975cd08f2997f22ae6b6be,5/6/2022 06:35,,,,,,,
55,7356e583b498f530b8ac06c49a174097,8/11/2022 16:17,,,,,,,
55,a0309454496fffae79f389cb31e15e28,30/11/2022 13:11,,,,,,,
56,1d1d7bc20388626c9d6d0d5973af8b9a,5/6/2022 06:38,,,,,,,
56,6b45ffbd6bc70ee4d1c0dbfaf4f32a07,30/11/2022 13:16,,,,,,,
56,77d147a786c2b374cb8b448d938674c1,8/11/2022 16:20,,,,,,,
56,fe5e548aae5b975896f0bfde84745d33,5/6/2022 09:39,,,,,,,
id,fullname,email,phone_number,address,password,role_id,deleted,,
55,Admin,admin@gmail.com,1234,1234,b4cbd48886a5331c5eb2fedadabe311c,2,0,,
56,tester,tester@gmail.com,1234,1234,b4cbd48886a5331c5eb2fedadabe311c,1,0,,
57,tester2,tester2@gmail.com,123456,123456,b4cbd48886a5331c5eb2fedadabe311c,1,0,,
58,tester3,tester3@gmail.com,1234,Address,b4cbd48886a5331c5eb2fedadabe311c,1,0,,
